longname,glot_fam,Longitude,Latitude
SoP.LAVUKALEVE.LAVUKALEVE,Lavukaleve,159.2,-9.08
OM.CHINANTECAN.LEALAO_CHINANTEC,Otomanguean,-95.92,17.33
An.GREATER_CENTRAL_PHILIPPINE.LEGAZPI,Austronesian,123.5,13.33
An.OCEANIC.LENAKEL_LENAUKAS,Austronesian,169.34,-19.38
An.OCEANIC.LENAKEL_LONASILIAN,Austronesian,169.24,-19.47
PN.NORTHERN_PAMA_NYUNGAN.LENINGITIJ,Pama-Nyungan,141.8,-12.8
An.CENTRAL_MALAYO_POLYNESIAN.LETINESE,Austronesian,127.67,-8.2
An.CENTRAL_MALAYO_POLYNESIAN.LEWA_KAMBERA,Austronesian,120.08,-9.75
NDa.LEZGIC.LEZGI,Nakh-Daghestanian,47.83,41.67
ST.BODIC.LHASA_TIBETAN,Sino-Tibetan,91.1,29.65
PN.NORTHERN_PAMA_NYUNGAN.LINNGITHIGH,Pama-Nyungan,141.8,-12.8
IE.BALTIC.LITHUANIAN,Indo-European,24.0,55.0
IE.INDIC.LITHUANIAN_ROMANI,Indo-European,22.58,53.03
Ura.FINNIC.LIVE,Uralic,24.0,56.83
Arw.CARIBBEAN_ARAWAKAN.LOKONO,Arawakan,-55.17,5.5
PN.CENTRAL_PAMA_NYUNGAN.LOWER_ARANDA,Pama-Nyungan,132.5,-24.0
An.CENTRAL_MALAYO_POLYNESIAN.LUANG,Austronesian,128.0,-8.17
UA.CALIFORNIA_UTO_AZTECAN.LUISENO,Uto-Aztecan,-117.17,33.33
NC.BANTOID.LUVALE,Atlantic-Congo,22.0,-12.0
IE.SLAVIC.MACEDONIAN,Indo-European,21.75,41.67
Car.CARIBAN.MACUSHI,Cariban,-60.0,4.0
An.OCEANIC.MAE,Austronesian,167.25,-16.0
An.OCEANIC.MAE_ORAP,Austronesian,167.28,-15.97
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.MAILOA,Austronesian,127.5,0.0
TNG.MAIRASI_TANAHMERAH.MAIRASI,Mairasic,134.0,-3.5
IE.INDIC.MAITHILI,Indo-European,86.0,26.0
WP.NORTH_CENTRAL_BIRDS_HEAD.MAI_BRAT,Maybrat,132.5,-1.33
Wak.SOUTHERN_WAKASHAN.MAKAH,Wakashan,-124.67,48.33
An.SOUTH_SULAWESI.MAKASAR,Austronesian,119.6,-5.42
An.SOUTH_SULAWESI.MAKASSARESE,Austronesian,119.58,-5.42
Car.CARIBAN.MAKUSHI,Cariban,-60.0,4.0
An.BARITO.MALAGASY_AMBOSITRA,Austronesian,47.25,-20.52
An.BARITO.MALAGASY_FIANARANTSOA,Austronesian,47.09,-21.45
An.BARITO.MALAGASY_MERINA,Austronesian,47.52,-18.93
An.BARITO.MALAGASY_PLATEAU_BETSILEO_FIANARANTSOA,Austronesian,47.08,-21.45
An.BARITO.MALAGASY_PLATEAU_MERINA_ANTANANARIVO,Austronesian,47.52,-18.9
An.BARITO.MALAGASY_PLATEAU_SIHANAKA_AMBATONDRAZAKA,Austronesian,48.42,-17.87
An.BARITO.MALAGASY_SIHANAKA,Austronesian,48.54,-17.47
An.BARITO.MALAGASY_TAIMORO,Austronesian,47.9,-22.5
An.ENGGANO.MALAKONI_ENGGANO,Austronesian,102.27,-5.4
An.JAVANESE.MALANG,Austronesian,112.62,-7.97
Dra.SOUTHERN_DRAVIDIAN.MALAYALAM,Dravidian,76.5,10.0
AA.SEMITIC.MALTESE,Afro-Asiatic,14.42,35.92
AA.SEMITIC.MALTESE_ARABIC,Afro-Asiatic,14.42,35.92
An.SOUTH_SULAWESI.MAMBI,Austronesian,119.25,-2.75
May.MAYAN.MAM_CABRICAN,Mayan,-91.83,15.42
May.MAYAN.MAM_CAJOLA,Mayan,-91.83,15.42
May.MAYAN.MAM_CONSEPCION_CHIQUIRICHAPA,Mayan,-91.83,15.42
May.MAYAN.MAM_NORTHERN,Mayan,-91.83,15.0
May.MAYAN.MAM_SANTA_BARBARA,Mayan,-91.83,15.42
May.MAYAN.MAM_SANTIAGO_CHIMALTENANGO,Mayan,-91.83,15.42
May.MAYAN.MAM_SAN_GASPAR_IXCHIL,Mayan,-91.83,15.42
May.MAYAN.MAM_SAN_ILDEFONSO_IXTAHUACAN,Mayan,-91.83,15.0
May.MAYAN.MAM_SAN_JUAN_ATITLAN,Mayan,-91.83,15.42
May.MAYAN.MAM_SAN_JUAN_OSTUNCALCO,Mayan,-91.83,15.42
May.MAYAN.MAM_SAN_MARTIN_SACATEPEQUEZ,Mayan,-91.83,15.42
May.MAYAN.MAM_SAN_MIGUEL_SIGUILA,Mayan,-91.83,15.42
May.MAYAN.MAM_SAN_PEDRO_NECTA,Mayan,-91.83,15.42
May.MAYAN.MAM_SAN_RAFAEL_PETZAL,Mayan,-91.83,15.0
May.MAYAN.MAM_SAN_SEBASTIAN_H,Mayan,-91.83,15.0
May.MAYAN.MAM_TACANA_1,Mayan,-92.13,15.3
May.MAYAN.MAM_TACANA_2,Mayan,-92.13,15.3
May.MAYAN.MAM_TACANA_3,Mayan,-92.13,15.3
May.MAYAN.MAM_TODOS_SANTOS_CUCHUMATAN_1,Mayan,-91.5,15.5
May.MAYAN.MAM_TODOS_SANTOS_CUCHUMATAN_2,Mayan,-91.5,15.5
May.MAYAN.MAM_TODOS_SANTOS_CUCHUMATAN_3,Mayan,-91.5,15.5
An.OCEANIC.MANAM,Austronesian,145.0,-4.0
ST.CHINESE.MANDARIN,Sino-Tibetan,110.0,34.0
ST.CHINESE.MANDARIN_2,Sino-Tibetan,110.0,34.0
MM.MANGARRAYI.MANGARAYI,Mangarrayi-Maran,133.5,-14.67
An.CENTRAL_MALAYO_POLYNESIAN.MANGGARAI,Austronesian,120.33,-8.67
An.GREATER_CENTRAL_PHILIPPINE.MANOBO_TIGWA,Austronesian,125.08,7.67
Ura.UGRIC.MANSI,Uralic,62.0,62.0
PN.WESTERN_PAMA_NYUNGAN.MANTJILTJARA,Pama-Nyungan,125.08,-22.67
IE.CELTIC.MANX,Indo-European,-4.5,54.17
An.OCEANIC.MAORI,Austronesian,176.0,-40.0
Arc.ARAUCANIAN.MAPUDUNGUN,Araucanian,-72.0,-38.0
Arc.ARAUCANIAN.MAPUDUNGUN_2,Araucanian,-72.0,-38.0
Arc.ARAUCANIAN.MAPUDUNGUN_3,Araucanian,-72.0,-38.0
WD.WAGAYDY.MARANUNGGU,Western_Daly,130.0,-13.67
PN.NORTHERN_PAMA_NYUNGAN.MARGANY,Pama-Nyungan,144.5,-27.0
Hok.YUMAN.MARICOPA,Cochimi-Yuman,-113.17,33.17
Mar.MARIND_PROPER.MARINDINEESCH,Anim,140.17,-7.83
An.GREATER_CENTRAL_PHILIPPINE.MARINDUQUE_TAGALOG,Austronesian,121.0,15.0
PN.WESTERN_PAMA_NYUNGAN.MARTUTHUNIRA,Pama-Nyungan,116.5,-20.83
PN.WESTERN_PAMA_NYUNGAN.MARTU_WANGKA,Pama-Nyungan,126.0,-21.5
Mat.MATACOAN.MATACO,Matacoan,-62.58,-22.5
An.SOUTH_SULAWESI.MATANANGNGA,Austronesian,119.08,-3.08
Iwa.IWAIDJAN.MAWNG,Iwaidjan_Proper,133.5,-11.92
PN.NORTHERN_PAMA_NYUNGAN.MBABARAM,Pama-Nyungan,145.0,-17.17
Ura.MARI.MEADOW_MARI,Uralic,48.0,57.0
An.SOUTH_SULAWESI.MEHALAAN,Austronesian,119.08,-3.08
Alg.ALGONQUIAN.MENOMINEE,Algic,-88.33,45.5
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.MENTAWAI,Austronesian,99.0,-1.5
EBH.EAST_BIRDS_HEAD.MEYAH,East_Bird_s_Head,133.5,-1.17
NDa.LEZGIC.MIKRAKH_LEZGI,Nakh-Daghestanian,47.88,41.37
An.MALAYO_SUMBAWAN.MINANGKABAU,Austronesian,101.0,-1.0
An.SOUTH_SULAWESI.MINANGNGA,Austronesian,119.08,-3.08
IE.IRANIAN.MIRAN_SHAH_PASHTO,Indo-European,70.07,33.0
Mis.MISUMALPAN.MISKITO,Misumalpan,-83.67,14.0
Iro.NORTHERN_IROQUOIAN.MOHAWK,Iroquoian,-74.25,43.5
Ura.MORDVIN.MOKSCHA_MORDWINISCH,Uralic,44.0,54.0
Alt.MONGOLIC.MONGOLIAN,Mongolic,105.0,47.0
An.GREATER_CENTRAL_PHILIPPINE.MONGONDOW,Austronesian,124.0,0.67
An.OCEANIC.MOORIORI,Austronesian,-176.53,-44.0
PN.NORTHERN_PAMA_NYUNGAN.MPAKWITHI_ANGUTHIMRI,Pama-Nyungan,141.83,-12.33
ND.NORTHERN_DALY.MULLUKMULLUK,Northern_Daly,130.42,-13.42
An.CELEBIC.MUNA,Austronesian,122.42,-5.0
AuA.MUNDA.MUNDARI,Austroasiatic,84.67,23.0
AuA.MUNDA.MUNDARI_2,Austroasiatic,84.67,23.0
LSR.LOWER_SEPIK.MURIK,Lower_Sepik-Ramu,144.25,-3.83
ESu.SURMIC.MURLE,Surmic,33.5,6.5
Brs.BURUSHASKI.MURTAZABAD_HUNZA_BURUSHASKI,Burushaski,74.5,36.5
PN.SOUTHEASTERN_PAMA_NYUNGAN.MURUWARI,Pama-Nyungan,147.0,-28.75
NC.BANTOID.MWINI,Atlantic-Congo,39.0,-6.5
NC.BANTOID.MWINI_2,Atlantic-Congo,39.0,-6.5
An.GREATER_CENTRAL_PHILIPPINE.NAGA,Austronesian,123.5,13.33
Nam.NAMBIKUARAN.NAMBIKWARA,Nambiquaran,-59.0,-13.0
IE.SLAVIC.NASHTA,Indo-European,22.98,40.74
NDe.ATHAPASKAN.NAVAHO,Athabaskan-Eyak-Tlingit,-108.0,36.17
NDe.ATHAPASKAN.NAVAJO,Athabaskan-Eyak-Tlingit,-108.0,36.17
Brs.BURUSHASKI.NAZIMABAD_HUNZA_BURUSHASKI,Burushaski,74.5,36.5
Ura.SAMOYEDIC.NENETS,Uralic,72.0,69.0
An.OCEANIC.NENGONE,Austronesian,168.0,-21.5
AA.SEMITIC.NEO_ARAMAIC,Afro-Asiatic,35.0,31.75
Pen.SAHAPTIAN.NEZ_PERCE,Sahaptian,-116.0,46.0
Pen.MAIDUAN.NE_MAIDU,Maiduan,-120.67,40.0
An.CENTRAL_MALAYO_POLYNESIAN.NGADHA,Austronesian,121.0,-8.83
An.CENTRAL_MALAYO_POLYNESIAN.NGAIBOR,Austronesian,134.07,-6.72
An.BARITO.NGAJU_BAAMANG,Austronesian,113.17,-0.75
An.BARITO.NGAJU_OLOH_MANGTANGAI,Austronesian,113.0,-0.83
An.BARITO.NGAJU_PULOPETAK,Austronesian,109.83,1.42
Gun.NGALAKAN.NGALAKAN,Gunwinyguan,134.0,-14.25
Wor.WORRORRAN.NGARINYIN,Worrorran,126.0,-16.33
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.NGOFAGITA,Austronesian,127.5,0.0
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.NGOFAKIAHA,Austronesian,127.5,0.0
NC.BANTOID.NGONI_2,Atlantic-Congo,30.0,-30.0
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.NIAS_NORTHERN,Austronesian,97.75,1.0
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.NIAS_SOUTHERN,Austronesian,97.75,1.0
Yan.YANOMAM.NINAM,Yanomamic,-62.83,3.5
Tor.WAPEI_PALEI.NINGIL,Nuclear_Torricelli,142.25,-3.5
IE.SLAVIC.NINILCHIK_RUSSIAN,Indo-European,-151.54,59.99
May.MAYAN.NORTHERN_MAM_SAN_ILDEFONSO_IXTAHUACAN,Mayan,-91.83,15.42
Pen.MIWOK.NORTHERN_SIERRA_MIWOK,Miwok-Costanoan,-120.67,38.33
IE.INDIC.NORTH_RUSSIAN_ROMANI,Indo-European,38.0,60.0
Ura.SAAMI.NORTH_SAAMI,Uralic,24.0,69.0
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.NUMFOR,Austronesian,134.9,-1.05
Gun.NUNGGUBUYU.NUNGGUBUYU,Gunwinyguan,135.67,-13.75
PN.NORTHERN_PAMA_NYUNGAN.NYAWAYGI,Pama-Nyungan,146.17,-19.0
PN.WESTERN_PAMA_NYUNGAN.NYOONGAR,Pama-Nyungan,122.0,-33.75
PN.WESTERN_PAMA_NYUNGAN.NYUNGA_EASTERN,Pama-Nyungan,122.0,-33.75
PN.WESTERN_PAMA_NYUNGAN.NYUNGA_NORTHERN,Pama-Nyungan,122.0,-33.75
PN.WESTERN_PAMA_NYUNGAN.NYUNGA_SOUTH_WESTERN,Pama-Nyungan,122.0,-33.75
LP.LAKES_PLAIN.OBOKUITAI,Lakes_Plain,138.0,-3.0
IE.ROMANCE.OCCITAN_ARANESE,Indo-European,0.84,42.72
An.OCEANIC.ONEIBIA_AROSI,Austronesian,161.33,-10.25
Iro.NORTHERN_IROQUOIAN.ONEIDA,Iroquoian,-75.67,43.0
TNG.FINISTERRE_HUON.ONO,Nuclear_Trans_New_Guinea,147.42,-6.17
Alt.TUNGUSIC.OROCH,Tungusic,137.5,50.33
Alt.TUNGUSIC.OROCHI,Tungusic,137.5,50.33
An.OCEANIC.PAAMA_FAULILI,Austronesian,168.35,-16.52
An.OCEANIC.PAAMA_LAUL,Austronesian,168.27,-16.71
An.OCEANIC.PAAMA_LIRONESA,Austronesian,168.24,-16.48
An.CELEBIC.PADOE,Austronesian,121.33,-2.33
WP.NORTH_HALMAHERAN.PAGU,North_Halmahera,127.75,1.25
An.PAIWAN.PAIWAN,Austronesian,120.8,22.5
CW.CHAPACURA_WANHAN.PAKAANOVA,Chapacuran,-65.0,-11.33
AA.SEMITIC.PALESTINIAN_ARABIC,Afro-Asiatic,35.25,32.0
An.SOUTH_SULAWESI.PALLU,Austronesian,119.67,-3.08
UA.NUMIC.PANAMINT,Uto-Aztecan,-117.0,37.0
Alg.ALGONQUIAN.PASSAMAQUODDY_MALISEET_UnnamedInSource,Algic,-67.0,45.0
An.CENTRAL_MALAYO_POLYNESIAN.PAULOHI,Austronesian,128.8,-3.25
Aru.ARAUAN.PAUMARI,Arawan,-64.0,-6.0
NC.BANTOID.PEMBA,Atlantic-Congo,39.0,-6.5
IE.IRANIAN.PERSIAN,Indo-European,54.0,32.0
PN.WESTERN_PAMA_NYUNGAN.PINTUPI,Pama-Nyungan,129.0,-23.0
Mur.MURA.PIRAHA,Mura-Piraha,-62.0,-7.0
PN.CENTRAL_PAMA_NYUNGAN.PITTA_PITTA,Pama-Nyungan,140.0,-22.83
IE.SLAVIC.POLISH,Indo-European,20.0,52.0
Hok.POMOAN.POMO_EASTERN,Pomoan,-123.67,39.0
May.MAYAN.POQOMCHI_WESTERN,Mayan,-90.5,15.42
IE.ROMANCE.PORTUGUESE,Indo-European,-8.0,39.0
An.LAMPUNGIC.PUBIAN_LAMPUNG_API,Austronesian,105.0,-5.0
Sal.CENTRAL_SALISH.PUGET_SALISH,Salishan,-122.5,47.25
Aym.AYMARAN.PUKI,Aymaran,-69.0,-17.0
An.OCEANIC.PULUWATESE,Austronesian,149.3,7.33
Tar.TARASCAN.PUREPECHA,Tarascan,-101.67,19.5
Tar.TARASCAN.PURHEPECHA,Tarascan,-101.67,19.5
Tar.TARASCAN.PURHEPECHA_2,Tarascan,-101.67,19.5
Que.QUECHUAN.QUECHUA_ABANCAY_TINTAY,Quechuan,-73.19,-13.96
Que.QUECHUAN.QUECHUA_AYACUCHO,Quechuan,-74.2,-13.11
Que.QUECHUAN.QUECHUA_IMBABURA,Quechuan,-78.0,0.33
May.MAYAN.QUICHE,Mayan,-91.42,15.0
Que.QUECHUAN.QUICHUA_IMBABURA_2,Quechuan,-78.23,0.27
Chi.RAMA.RAMA,Chibchan,-83.75,11.75
An.LAMPUNGIC.RANAU_LAMPUNG_API,Austronesian,105.0,-5.0
ST.BODIC.RANG_PAS,Sino-Tibetan,79.33,30.33
Arc.ARAUCANIAN.RANQUELCHE,Araucanian,-72.0,-38.0
An.SOUTH_SULAWESI.RANTEPALADO,Austronesian,119.08,-3.08
An.OCEANIC.RAPA_NUI,Austronesian,-109.0,-27.0
An.SANGIRIC.RATAHAN,Austronesian,124.83,1.08
PN.WESTERN_PAMA_NYUNGAN.RITHARNGU,Pama-Nyungan,135.5,-12.83
IE.ROMANCE.ROMANIAN,Indo-European,25.0,46.0
IE.ROMANCE.ROMANIAN_2,Indo-European,25.0,46.0
IE.ROMANCE.ROMANSH_GRISHUN,Indo-European,9.93,46.55
IE.ROMANCE.ROMANSH_SURMIRAN,Indo-European,9.93,46.55
IE.ROMANCE.ROMANSH_SURSILVAN,Indo-European,8.83,46.67
IE.ROMANCE.ROMANSH_VALLADER,Indo-European,9.93,46.55
An.OCEANIC.RORO,Austronesian,146.6,-8.75
An.OCEANIC.ROTUMAN,Austronesian,177.07,-12.5
An.OCEANIC.ROTUMAN_2,Austronesian,177.07,-12.5
IE.SLAVIC.RUSSIAN,Indo-European,38.0,56.0
An.SOUTH_SULAWESI.SADAN,Austronesian,119.75,-3.0
AA.LOWLAND_EAST_CUSHITIC.SAHO,Afro-Asiatic,39.75,14.75
AA.LOWLAND_EAST_CUSHITIC.SAHO_2,Afro-Asiatic,39.75,14.75
WP.NORTH_HALMAHERAN.SAHU,North_Halmahera,127.5,1.17
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.SAKETA,Austronesian,127.5,0.0
An.SOUTH_SULAWESI.SALUDENGAN,Austronesian,119.08,-3.08
An.SOUTH_SULAWESI.SALU_HUHU,Austronesian,119.08,-3.08
An.SOUTH_SULAWESI.SALU_MAKA,Austronesian,119.08,-3.08
An.BARITO.SAMIHIM,Austronesian,115.08,-2.08
An.SANGIRIC.SANGIR,Austronesian,125.5,3.5
An.SANGIRIC.SANGIR_2,Austronesian,125.5,3.5
Yan.YANOMAM.SANIMA,Yanomamic,-64.67,4.5
Yan.YANOMAM.SANUMA,Yanomamic,-64.67,4.5
AA.SEMITIC.SAN_ANDRES_ARABIC_1,Afro-Asiatic,-81.7,12.58
AA.SEMITIC.SAN_ANDRES_ARABIC_2,Afro-Asiatic,-81.7,12.58
AA.SEMITIC.SAN_ANDRES_ARABIC_3,Afro-Asiatic,-81.7,12.58
An.CENTRAL_MALAYO_POLYNESIAN.SAPOLEWA_SOOW_KWELE_ULUI_SERAM,Austronesian,128.33,-3.0
IE.ROMANCE.SARDINIAN_CAMPIDANESE,Indo-European,9.04,39.06
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.SAWAI_UnnamedInSource,Austronesian,128.0,0.5
AuA.BAHNARIC.SEDANG,Austroasiatic,108.0,14.83
An.CENTRAL_MALAYO_POLYNESIAN.SELARU,Austronesian,131.0,-8.2
An.SOUTH_SULAWESI.SELAYAR,Austronesian,120.5,-6.0
TNG.FINISTERRE_HUON.SELEPET,Nuclear_Trans_New_Guinea,147.17,-6.17
Ura.SAMOYEDIC.SELKUP,Uralic,82.0,65.0
AuA.ASLIAN.SEMELAI,Austroasiatic,103.0,3.0
Iro.NORTHERN_IROQUOIAN.SENECA,Iroquoian,-77.5,42.5
NC.GUR.SENOUFO_SUPYIRE,Atlantic-Congo,-5.58,11.5
Snt.SENTANI.SENTANI,Sentanic,140.58,-2.58
An.SOUTH_SULAWESI.SEPANG,Austronesian,119.08,-3.08
Hok.SERI.SERI,Seri,-112.0,29.0
Pan.PANOAN.SHIPIBO,Pano-Tacanan,-75.0,-7.5
Yan.YANOMAM.SHIRISHANA,Yanomamic,-62.83,3.5
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.SICHULE,Austronesian,96.0,2.67
LP.LAKES_PLAIN.SIKARITAI,Lakes_Plain,138.25,-2.92
IE.INDIC.SINDHI,Indo-European,69.0,26.0
An.CELEBIC.SINDUE_TAWAILI,Austronesian,120.0,-1.17
An.OCEANIC.SIO,Austronesian,147.33,-5.95
IE.SLAVIC.SLOVAK,Indo-European,20.0,49.0
IE.SLAVIC.SLOVENIAN,Indo-European,15.0,46.0
An.SOUTH_SULAWESI.SODANGAN,Austronesian,119.08,-3.08
Alt.TUNGUSIC.SOLON,Tungusic,119.75,49.14
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.SOMA,Austronesian,127.5,0.0
An.SOUTH_SULAWESI.SOPPENG_BUGINESE,Austronesian,119.88,-4.35
An.OCEANIC.SOUTHEAST_AMBRYM_MAAT,Austronesian,168.3,-16.3
An.OCEANIC.SOUTHEAST_AMBRYM_TOAK,Austronesian,168.22,-16.35
PN.CENTRAL_PAMA_NYUNGAN.SOUTHERN_ARANDA,Pama-Nyungan,132.5,-24.0
An.CENTRAL_MALAYO_POLYNESIAN.SOUTHERN_KAMBERA,Austronesian,120.17,-9.83
May.MAYAN.SOUTHERN_MAM_SAN_JUAN_OSTUNCALCO,Mayan,-91.83,15.42
UA.NUMIC.SOUTHERN_PAIUTE,Uto-Aztecan,-113.33,37.83
UA.TEPIMAN.SOUTHERN_TEPEHUAN,Uto-Aztecan,-104.0,23.0
An.OCEANIC.SOUTHWEST_TANNA_ENFITANA,Austronesian,169.4,-19.57
An.OCEANIC.SOUTHWEST_TANNA_IKITI,Austronesian,169.37,-19.63
An.OCEANIC.SOUTHWEST_TANNA_IKIYAU,Austronesian,169.4,-19.54
An.OCEANIC.SOUTHWEST_TANNA_IMREANG,Austronesian,169.32,-19.52
An.OCEANIC.SOUTHWEST_TANNA_LAPWANGTOAI,Austronesian,169.33,-19.48
An.OCEANIC.SOUTH_ISLAND_MAORI,Austronesian,173.0,-43.0
IE.ROMANCE.SPANISH,Indo-European,-4.0,40.0
Sal.INTERIOR_SALISH.SPOKANE,Salishan,-117.75,47.67
Sal.CENTRAL_SALISH.SQUAMISH,Salishan,-123.17,49.67
IE.GERMANIC.STANDARD_GERMAN,Indo-European,10.0,52.0
An.PAIWAN.STIMUL_PAIWAN,Austronesian,120.83,22.5
EA.ESKIMO.ST_LAWRENCE_YUPIK,Eskimo-Aleut,-170.5,63.5
An.LAMPUNGIC.SUKAU_LAMPUNG_API,Austronesian,105.0,-5.0
Aym.AYMARAN.SULLKATITI_TITIRI,Aymaran,-69.0,-17.0
An.MALAYO_SUMBAWAN.SUNDANESE,Austronesian,107.0,-7.0
An.LAMPUNGIC.SUNGKAI_LAMPUNG_API,Austronesian,105.0,-5.0
TNG.MADANG.SUROI,Nuclear_Trans_New_Guinea,146.0,-5.5
NC.BANTOID.SWAHILI,Atlantic-Congo,39.0,-6.5
NC.BANTOID.SWAHILI_2,Atlantic-Congo,39.0,-6.5
NC.BANTOID.SWAHILI_CHIRAZI,Atlantic-Congo,39.43,-4.02
NC.BANTOID.SWAHILI_MAKUNDUCHI,Atlantic-Congo,39.75,-7.87
NC.BANTOID.SWAHILI_MVITA,Atlantic-Congo,39.53,-3.93
NC.BANTOID.SWAHILI_PATE,Atlantic-Congo,41.1,-2.07
NC.BANTOID.SWAHILI_PEMBA,Atlantic-Congo,39.52,-5.17
NC.BANTOID.SWAHILI_SUD,Atlantic-Congo,39.0,-6.5
NC.BANTOID.SWAHILI_TIKUU,Atlantic-Congo,41.18,-1.87
NC.BANTOID.SWAHILI_VUMBA,Atlantic-Congo,39.27,-4.53
IE.GERMANIC.SWEDISH,Indo-European,15.0,60.0
AA.SEMITIC.SYRIAN_ARABIC,Afro-Asiatic,38.0,34.0
Pen.MIWOK.S_SIERRA_MIWOK,Miwok-Costanoan,-120.0,37.5
WP.NORTH_HALMAHERAN.TABARU,North_Halmahera,127.25,1.5
Snt.SENTANI.TABLA,Sentanic,140.42,-2.45
Snt.SENTANI.TABLA_C,Sentanic,140.42,-2.45
Snt.SENTANI.TABLA_UNKNOWN_DIAL,Sentanic,140.42,-2.45
Snt.SENTANI.TABLA_W,Sentanic,140.42,-2.45
An.SOUTH_SULAWESI.TABULAHAN_CAMPBELL,Austronesian,119.25,-2.75
An.SOUTH_SULAWESI.TABULAHAN_MCKENZIE,Austronesian,119.25,-2.75
Tac.TACANAN.TACANA,Pano-Tacanan,-68.0,-13.5
An.GREATER_CENTRAL_PHILIPPINE.TAGALOG,Austronesian,121.0,15.0
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.TAHANE,Austronesian,127.5,0.0
An.OCEANIC.TAHITIAN,Austronesian,-149.58,-17.67
An.OCEANIC.TAHITIAN_2,Austronesian,-149.58,-17.67
IE.IRANIAN.TAJIK,Indo-European,70.0,38.4
An.LAMPUNGIC.TALANG_PADANG_LAMPUNG_API,Austronesian,105.0,-5.0
An.SANGIRIC.TALAUD,Austronesian,126.75,4.25
AA.BERBER.TAMAZIGHT_CENTRAL_ATLAS_AYT_IZDEG,Afro-Asiatic,-4.4,33.2
AA.BERBER.TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Afro-Asiatic,-4.4,33.2
AA.BERBER.TAMAZIGHT_CENTRAL_ATLAS_NTIFA,Afro-Asiatic,-4.4,33.2
An.SOUTH_SULAWESI.TANETE,Austronesian,119.08,-3.08
TNG.DANI.TANGMA_DANI,Nuclear_Trans_New_Guinea,138.42,-4.42
An.SOUTH_SULAWESI.TAORA,Austronesian,119.08,-3.08
An.CELEBIC.TARA,Austronesian,120.0,-1.17
An.CENTRAL_MALAYO_POLYNESIAN.TARANGAN_BARAT_FERUNI,Austronesian,134.17,-6.5
Tar.TARASCAN.TARASCAN,Tarascan,-101.67,19.5
AA.BERBER.TASHELHIT_IDA_USEMLAL,Afro-Asiatic,-9.61,29.53
An.SOUTH_SULAWESI.TAUPE,Austronesian,119.67,-3.08
An.OCEANIC.TAWALA,Austronesian,150.67,-10.33
Chn.CHON_PROPER.TEHUELCHE,Chonan,-68.0,-48.0
An.CENTRAL_MALAYO_POLYNESIAN.TERMANU,Austronesian,123.3,-10.67
UA.AZTECAN.TETELCINGO_NAHUATL,Uto-Aztecan,-99.0,19.67
PN.SOUTHEASTERN_PAMA_NYUNGAN.THURAWAL,Pama-Nyungan,150.5,-34.5
ST.BODIC.TIBETAN_CENTRAL,Sino-Tibetan,91.0,30.0
ST.BODIC.TIBETAN_LHASA,Sino-Tibetan,91.0,30.0
ST.BODIC.TIBETAN_WRITTEN,Sino-Tibetan,91.0,30.0
An.OCEANIC.TIGAK,Austronesian,150.8,-2.72
NC.BANTOID.TIKUU,Atlantic-Congo,39.0,-6.5
NC.BANTOID.TIKUU_PATE,Atlantic-Congo,39.0,-6.5
Tim.TIMUCUA.TIMUCUA,Timucua,-82.5,30.25
Hok.YUMAN.TIPAI,Cochimi-Yuman,-116.5,32.17
An.BILIC.TIRURAY,Austronesian,124.17,6.75
Tiw.TIWIAN.TIWI,Tiwi,131.0,-11.5
An.PAIWAN.TJUBAR_PAIWAN,Austronesian,120.83,22.5
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.TOBA_BATAK,Austronesian,99.0,2.5
WP.NORTH_HALMAHERAN.TOBELO_2,North_Halmahera,128.5,1.5
An.OCEANIC.TOLAI,Austronesian,152.08,-4.25
An.MINAHASAN.TONDANO,Austronesian,125.0,1.25
An.OCEANIC.TONGAN,Austronesian,-175.17,-21.17
An.OCEANIC.TONGAN_2,Austronesian,-175.17,-21.17
An.MINAHASAN.TONTEMBOAN,Austronesian,124.5,1.08
AA.SEMITIC.TRIPOLI_JEWISH_ARABIC,Afro-Asiatic,13.19,32.9
Tru.TRUMAI.TRUMAI,Trumai,-53.58,-11.92
NDa.LEZGIC.TSAKHUR,Nakh-Daghestanian,47.17,41.67
Ura.MARI.TSCHEREMISSISCH_KOZMODEMJANSK,Uralic,58.0,57.0
Ura.MARI.TSCHEREMISSISCH_URZUM,Uralic,48.0,57.0
An.OCEANIC.TUAMOTUAN,Austronesian,-144.0,-17.0
UA.CALIFORNIA_UTO_AZTECAN.TUBATULABAL,Uto-Aztecan,-118.33,36.0
