taxon,VS-VO,VS-PN,VS-NG,VS-NA,VS-ND,VS-NNum,VS-NRc,VO-PN,VO-NG,VO-NA,VO-ND,VO-NNum,VO-NRc,PN-NG,PN-NA,PN-ND,PN-NNum,PN-NRc,NG-NA,NG-ND,NG-NNum,NG-NRc,NA-ND,NA-NNum,NA-NRc,ND-NNum,ND-NRc,NNum-NRc
PN.NORTHERN_PAMA_NYUNGAN.KUKU_UWANH,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,a,d,d,d,c,d,d,c,d,c,c
TNG.CHIMBU.KUMAN,a,a,-,b,a,b,-,a,-,b,a,b,-,-,b,a,b,-,-,-,-,-,c,d,-,b,-,-
IE.INDIC.KUMAUNI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
Knm.KUNAMA.KUNAMA,a,a,a,b,b,b,a,a,a,b,b,b,a,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
Ijo.IJOID.KUNBO,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
NC.BANTOID.KUNDU,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
TNG.GOILALAN.KUNIMAIPA,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
ST.CHINESE.KUNMING_MANDARIN,b,-,a,a,a,a,b,-,c,c,c,c,d,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
Kuo.KUOT.KUOT,d,d,d,d,c,c,c,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
IE.IRANIAN.KURDISH_CENTRAL,a,b,b,b,-,a,a,b,b,b,-,a,a,d,d,-,c,c,d,-,c,c,-,c,c,-,-,a
Ain.AINU.KURIL_AINU,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Alt.TUNGUSIC.KUR_URMI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
An.OCEANIC.KUSAIE,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Dra.SOUTH_CENTRAL_DRAVIDIAN.KUVI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
AA.SEMITIC.KUWAITI_ARABIC,b,b,b,b,-,a,a,d,d,d,-,c,c,d,d,-,c,c,d,-,c,c,-,c,c,-,-,a
An.OCEANIC.KWAIO,b,b,-,b,b,a,-,d,-,d,d,c,-,-,d,d,c,-,-,-,-,-,d,c,-,c,-,-
NC.BANTOID.KWANGALI,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.KWANGALI_2,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
ESu.SURMIC.KWEGU,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Sep.MIDDLE_SEPIK.KWOMA,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
KB.KWOMTARI.KWOMTARI,a,a,a,-,a,b,b,a,a,-,a,b,b,a,-,a,b,b,-,a,b,b,-,-,-,b,b,d
KK.KHOE_KWADI.KXOE,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
TNG.ENGAN.KYAKA_ENGA,a,a,-,b,b,b,-,a,-,b,b,b,-,-,b,b,b,-,-,-,-,-,d,d,-,d,-,-
ST.BODIC.KYIRONG,a,a,a,b,a,b,b,a,a,b,a,b,b,a,b,a,b,b,b,a,b,b,c,d,d,b,b,d
NC.BANTOID.L21_KETE_IPILA,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
NC.BANTOID.L21_KETE_KATAMB,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
NC.BANTOID.L32_KANYOK_1,-,-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.L32_KANYOK_2,-,-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Laal.LAAL.LAAL,b,b,b,b,b,-,-,d,d,d,d,-,-,d,d,d,-,-,d,d,-,-,d,-,-,-,-,-
An.OCEANIC.LABU,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
May.MAYAN.LACANDON,-,-,-,-,-,-,-,d,d,c,c,c,-,d,c,c,c,-,c,c,c,-,a,a,-,a,-,-
ST.BODIC.LADAKHI,a,a,a,b,a,b,-,a,a,b,a,b,-,a,b,a,b,-,b,a,b,-,c,d,-,b,-,-
AA.BIU_MANDARA.LAGWAN,b,b,b,b,-,b,-,d,d,d,-,d,-,d,d,-,d,-,d,-,d,-,-,d,-,-,-,-
ST.BURMESE_LOLO.LAHU,a,a,a,-,b,b,b,a,a,-,b,b,b,a,-,b,b,b,-,b,b,b,-,-,-,d,d,d
ST.BURMESE_LOLO.LAHU_2,a,a,a,-,b,b,b,a,a,-,b,b,b,a,-,b,b,b,-,b,b,b,-,-,-,d,d,d
CSu.MORU_MAADI.LAKAMADI,-,a,b,b,b,b,a,-,-,-,-,-,-,b,b,b,b,a,d,d,d,c,d,d,c,d,c,c
An.SAMA_BAJAW.LAKARAMBA_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
ST.KUKI_CHIN.LAKHER_MARA,a,a,a,b,-,b,-,a,a,b,-,b,-,a,b,-,b,-,b,-,b,-,-,d,-,-,-,-
IE.IRANIAN.LAKKI_MARWAT_PASHTO,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
An.SAMA_BAJAW.LAKONEA_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
An.OCEANIC.LALA,-,-,a,b,b,b,a,-,-,-,-,-,-,-,-,-,-,-,b,b,b,a,d,d,c,d,c,c
ST.BURMESE_LOLO.LALO,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
An.CENTRAL_MALAYO_POLYNESIAN.LAMAHOLOT_ILE_MANDIRI,b,-,-,b,b,b,a,-,-,d,d,d,c,-,-,-,-,-,-,-,-,-,d,d,c,d,c,c
AA.BIU_MANDARA.LAMANG_HITKALANCHI,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
IE.INDIC.LAMANI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
An.LAMPUNGIC.LAMPUNG,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
An.SAMA_BAJAW.LANGARA_LAUT_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
ESu.NILOTIC.LANGO,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
TK.KAM_TAI.LAO,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
TK.KAM_TAI.LAOTIEN,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.SAMA_BAJAW.LAPULU_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
DR.LARAGIA.LARRAKIA,a,a,b,b,-,b,-,a,b,b,-,b,-,b,b,-,b,-,d,-,d,-,-,d,-,-,-,-
An.SAMA_BAJAW.LAURU_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
SoP.LAVUKALEVE.LAVUKALEVE,a,a,a,b,-,b,-,a,a,b,-,b,-,a,b,-,b,-,b,-,b,-,-,d,-,-,-,-
OM.CHINANTECAN.LEALAO_CHINANTEC,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Sko.WESTERN_SKOU.LEITRE,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
AA.EAST_CHADIC.LELE_CHAD,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
An.SAMA_BAJAW.LEMO_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
An.OCEANIC.LENAKEL_LENAUKAS,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.LENAKEL_LONASILIAN,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
CSu.LENDU.LENDU,-,a,a,a,a,a,-,-,-,-,-,-,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
CSu.LENDU.LENDU_DDRADHA,-,a,a,a,a,a,-,-,-,-,-,-,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
CSu.LENDU.LENDU_DJADHA,-,a,a,a,a,a,-,-,-,-,-,-,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
CSu.LENDU.LENDU_NJAWDHA,-,a,a,a,a,a,-,-,-,-,-,-,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
CSu.LENDU.LENDU_PIDHA,-,a,a,a,a,a,-,-,-,-,-,-,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
CSu.LENDU.LENDU_TADHA,-,a,a,a,a,a,-,-,-,-,-,-,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
ST.LEPCHA.LEPCHA,a,a,a,b,a,b,-,a,a,b,a,b,-,a,b,a,b,-,b,a,b,-,c,d,-,b,-,-
An.CENTRAL_MALAYO_POLYNESIAN.LETINESE,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
An.OCEANIC.LEWO_FILAKARA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.LEWO_MAPREMO,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.LEWO_MATE,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.LEWO_NIKAURA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.LEWO_NUL,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.LEWO_NUVI,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.LEWO_VISINA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NDa.LEZGIC.LEZGI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
ST.BODIC.LHASA_TIBETAN,a,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,b,b,b,b,d,d,d,d,d,d
Sal.INTERIOR_SALISH.LILLOOET,d,d,d,c,c,-,-,d,d,c,c,-,-,d,c,c,-,-,c,c,-,-,a,-,-,-,-,-
ST.MAHAKIRANTI.LIMBU,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
NC.UBANGI.LINDA,b,b,b,a,b,b,a,d,d,c,d,d,c,d,c,d,d,c,c,d,d,c,b,b,a,d,c,c
ST.BURMESE_LOLO.LISU,a,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,b,b,b,b,d,d,d,d,d,d
ST.BURMESE_LOLO.LISU_2,a,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,b,b,b,b,d,d,d,d,d,d
IE.BALTIC.LITHUANIAN,b,b,a,a,a,a,a,d,c,c,c,c,c,c,c,c,c,c,a,a,a,a,a,a,a,a,a,a
TK.HLAI.LI_BAODING,b,b,-,b,b,a,-,d,-,d,d,c,-,-,d,d,c,-,-,-,-,-,d,c,-,c,-,-
TK.HLAI.LI_TONGSHI,b,b,-,b,b,a,-,d,-,d,d,c,-,-,d,d,c,-,-,-,-,-,d,c,-,c,-,-
CSu.MORU_MAADI.LOGO,-,a,a,b,b,b,a,-,-,-,-,-,-,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
CSu.MORU_MAADI.LOKAI,-,a,-,b,b,b,a,-,-,-,-,-,-,-,b,b,b,a,-,-,-,-,d,d,c,d,c,c
Arw.CARIBBEAN_ARAWAKAN.LOKONO,-,-,-,-,-,-,-,c,c,c,c,c,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
An.OCEANIC.LOMAUMBI_BABATANA,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
NC.BANTOID.LOMONGO,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.LONGGU,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
ST.BAI.LONGMEN_BAI,b,-,a,a,b,b,b,-,c,c,d,d,d,-,-,-,-,-,a,b,b,b,b,b,b,d,d,d
An.OCEANIC.LONIU,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.LOU,b,b,b,b,b,-,-,d,d,d,d,-,-,d,d,d,-,-,d,d,-,-,d,-,-,-,-,-
ST.BODIC.LOWA,a,-,-,b,a,b,b,-,-,b,a,b,b,-,-,-,-,-,-,-,-,-,c,d,d,b,b,d
PN.CENTRAL_PAMA_NYUNGAN.LOWER_ARANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,b,b,b,b,a,d,d,d,c,d,d,c,d,c,c
Pen.CHINOOKAN.LOWER_CHINOOK,d,d,-,c,c,c,-,d,-,c,c,c,-,-,c,c,c,-,-,-,-,-,a,a,-,a,-,-
UA.TEPIMAN.LOWER_PIMA,a,-,a,a,a,a,a,-,a,a,a,a,a,-,-,-,-,-,a,a,a,a,a,a,a,a,a,a
MZ.MIXE_ZOQUE.LOWLAND_MIXE,-,-,-,-,-,-,-,-,-,-,-,-,-,c,c,c,c,c,a,a,a,a,a,a,a,a,a,a
NC.BANTOID.LUGANDA,-,b,b,b,b,b,a,-,-,-,-,-,-,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
CSu.MORU_MAADI.LUGBARA,-,a,a,b,b,b,a,-,-,-,-,-,-,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
UA.CALIFORNIA_UTO_AZTECAN.LUISENO,-,a,a,b,a,a,a,-,-,-,-,-,-,a,b,a,a,a,b,a,a,a,c,c,c,a,a,a
An.OCEANIC.LUKEP,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
NC.BANTOID.LUNDA,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
NC.BANTOID.LUNDA_1,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
NC.BANTOID.LUNDA_2,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
ESu.NILOTIC.LUO,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
ST.KUKI_CHIN.LUSHAI,a,a,a,b,-,b,-,a,a,b,-,b,-,a,b,-,b,-,b,-,b,-,-,d,-,-,-,-
An.OCEANIC.LUSI,b,b,a,b,b,b,-,d,c,d,d,d,-,c,d,d,d,-,b,b,b,-,d,d,-,d,-,-
NC.BANTOID.LUVALE,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.SAMA_BAJAW.LUWUK_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
NC.BANTOID.M64_TONGA_1,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.M64_TONGA_2,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
CSu.MORU_MAADI.MAADI,-,a,-,b,b,b,a,-,-,-,-,-,-,-,b,b,b,a,-,-,-,-,d,d,c,d,c,c
ESu.NILOTIC.MAASAI,d,d,d,d,c,d,c,d,d,d,c,d,c,d,d,c,d,c,d,c,d,c,c,d,c,b,a,c
Mab.MABAN.MABA_CHAD,a,a,-,b,b,b,a,a,-,b,b,b,a,-,b,b,b,a,-,-,-,-,d,d,c,d,c,c
Car.CARIBAN.MACUSHI,-,-,-,-,-,-,-,a,a,b,a,a,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
AA.BIU_MANDARA.MADA_CAMEROON,b,-,b,b,b,b,-,-,d,d,d,d,-,-,-,-,-,-,d,d,d,-,d,d,-,d,-,-
An.OCEANIC.MAE,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
An.OCEANIC.MAE_ORAP,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
An.RUKAI.MAGA_RUKAI,d,d,d,-,c,c,-,d,d,-,c,c,-,d,-,c,c,-,-,c,c,-,-,-,-,a,-,-
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.MAILOA,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
An.OCEANIC.MAISIN,a,a,a,b,b,-,-,a,a,b,b,-,-,a,b,b,-,-,b,b,-,-,d,-,-,-,-,-
IE.INDIC.MAITHILI,a,a,-,a,a,a,-,a,-,a,a,a,-,-,a,a,a,-,-,-,-,-,a,a,-,a,-,-
WP.NORTH_CENTRAL_BIRDS_HEAD.MAI_BRAT,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
TAP.MAKASAE_FATALUKU_OIRATA.MAKASAE,a,a,-,b,b,-,a,a,-,b,b,-,a,-,b,b,-,a,-,-,-,-,d,-,c,-,c,-
Car.CARIBAN.MAKUSHI,-,-,-,-,-,-,-,a,a,b,a,a,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
NC.BANTOID.MAKWA_ALUA,b,b,b,b,-,b,-,d,d,d,-,d,-,d,d,-,d,-,d,-,d,-,-,d,-,-,-,-
NC.BANTOID.MAKWA_ILE,b,b,b,b,-,b,-,d,d,d,-,d,-,d,d,-,d,-,d,-,d,-,-,d,-,-,-,-
NC.BANTOID.MAKWA_MALEMA,b,b,b,b,-,b,-,d,d,d,-,d,-,d,d,-,d,-,d,-,d,-,-,d,-,-,-,-
NC.BANTOID.MAKWA_NAMPULA,b,b,b,b,-,b,-,d,d,d,-,d,-,d,d,-,d,-,d,-,d,-,-,d,-,-,-,-
An.BARITO.MALAGASY_AMBOSITRA,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
An.BARITO.MALAGASY_FIANARANTSOA,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
An.BARITO.MALAGASY_MERINA,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
An.BARITO.MALAGASY_PLATEAU_BETSILEO_FIANARANTSOA,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
An.BARITO.MALAGASY_PLATEAU_MERINA_ANTANANARIVO,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
An.BARITO.MALAGASY_PLATEAU_SIHANAKA_AMBATONDRAZAKA,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
An.BARITO.MALAGASY_SIHANAKA,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
An.BARITO.MALAGASY_TAIMORO,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
An.ENGGANO.MALAKONI_ENGGANO,b,b,b,b,b,-,a,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
WP.NORTH_HALMAHERAN.MALAPA,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
Dra.SOUTHERN_DRAVIDIAN.MALAYALAM,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
An.OCEANIC.MALEU,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
An.OCEANIC.MALEU_2,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
Man.WESTERN_MANDE.MALINKE,a,a,a,b,b,b,a,a,a,b,b,b,a,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
An.GREATER_CENTRAL_PHILIPPINE.MAMANWA,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
TNG.BINANDEREAN.MAMBARE_RIVER,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
May.MAYAN.MAM_CABRICAN,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_CAJOLA,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_CONSEPCION_CHIQUIRICHAPA,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_NORTHERN,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_SANTA_BARBARA,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_SANTIAGO_CHIMALTENANGO,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_SAN_GASPAR_IXCHIL,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_SAN_ILDEFONSO_IXTAHUACAN,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_SAN_JUAN_ATITLAN,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_SAN_JUAN_OSTUNCALCO,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_SAN_MARTIN_SACATEPEQUEZ,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_SAN_MIGUEL_SIGUILA,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_SAN_PEDRO_NECTA,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_SAN_RAFAEL_PETZAL,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_SAN_SEBASTIAN_H,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_TACANA_1,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_TACANA_2,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_TACANA_3,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_TODOS_SANTOS_CUCHUMATAN_1,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_TODOS_SANTOS_CUCHUMATAN_2,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
May.MAYAN.MAM_TODOS_SANTOS_CUCHUMATAN_3,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
An.MALAYO_SUMBAWAN.MANADONESE,b,b,-,b,a,a,a,d,-,d,c,c,c,-,d,c,c,c,-,-,-,-,c,c,c,a,a,a
An.OCEANIC.MANAM,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,a,d,d,d,c,d,d,c,d,c,c
Sio.CORE_SIOUAN.MANDAN,a,a,a,b,-,b,-,a,a,b,-,b,-,a,b,-,b,-,b,-,b,-,-,d,-,-,-,-
ST.CHINESE.MANDARIN,b,-,a,a,a,a,b,-,c,c,c,c,d,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
ST.CHINESE.MANDARIN_2,b,-,a,a,a,a,b,-,c,c,c,c,d,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
Man.WESTERN_MANDE.MANDINKA,a,a,a,b,a,b,-,a,a,b,a,b,-,a,b,a,b,-,b,a,b,-,c,d,-,b,-,-
An.OCEANIC.MANGAP,b,b,-,b,b,-,a,d,-,d,d,-,c,-,d,d,-,c,-,-,-,-,d,-,c,-,c,-
MM.MANGARRAYI.MANGARAYI,a,b,-,b,a,-,a,b,-,b,a,-,a,-,d,c,-,c,-,-,-,-,c,-,c,-,a,-
An.CENTRAL_MALAYO_POLYNESIAN.MANGGARAI,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Man.EASTERN_MANDE.MANN,a,a,a,b,-,b,-,a,a,b,-,b,-,a,b,-,b,-,b,-,b,-,-,d,-,-,-,-
